Timestamp (s),Context,Event Name,Event Class,Event Id,Core #,Δ T (s),Parameters
4.253658,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.253658,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.253658,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.253658,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.253659,"Task2","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.253659,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.253659,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.253664,"Task2","semGive","Semaphore Events","10012","0",0.000005,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.253664,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.253665,"Task2","taskUnsafe","Task Events","10007","0",0.000001,"taskId=0x62a99660, safeCnt=1"
4.255011,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.001346,""
4.255012,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
4.255012,"Interrupt14","intExit","Interrupt Events","101","0",0,""
4.275015,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020003,""
4.275016,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
4.275016,"Interrupt14","intExit","Interrupt Events","101","0",0,""
4.295013,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019997,""
4.295014,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
4.295015,"Interrupt14","intExit","Interrupt Events","101","0",0.000001,""
4.315015,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.02,""
4.315016,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
4.315017,"Interrupt14","intExit","Interrupt Events","101","0",0.000001,""
4.335011,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019994,""
4.335011,"Interrupt14","tickAnnounce","Tick Events","59","0",0,""
4.335013,"Interrupt14","[Wake delayed task]","Tick Events","618","0",0.000002,"pTcb=0x622f7980"
4.335013,"Interrupt14","intExit","Interrupt Events","101","0",0,""
4.335017,"Task2","[Exit - Task switch]","Kernel Events","52","0",0.000004,"tid=0x62a99660, priority=210"
4.355014,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019997,""
4.355015,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
4.355015,"Interrupt14","intExit","Interrupt Events","101","0",0,""
4.367857,"Task2","taskSafe","Task Events","10006","0",0.012842,"taskId=0x62a99660, safeCnt=0"
4.367857,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.367858,"Task2","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x00000000, recurse=0"
4.367859,"Task2","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367859,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367859,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x62a99660, recurse=0"
4.36786,"Task2","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.36786,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.36786,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.36786,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.36786,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367861,"Task2","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367861,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367861,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367861,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367861,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.367861,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367887,"Task2","semGive","Semaphore Events","10012","0",0.000026,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.367887,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367887,"Task2","taskUnsafe","Task Events","10007","0",0,"taskId=0x62a99660, safeCnt=1"
4.367888,"Task2","taskSafe","Task Events","10006","0",0.000001,"taskId=0x62a99660, safeCnt=0"
4.367889,"Task2","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.367889,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x00000000, recurse=0"
4.367889,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367889,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367889,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x62a99660, recurse=0"
4.367889,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.36789,"Task2","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.36789,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367898,"Task2","semGive","Semaphore Events","10012","0",0.000008,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.367898,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367899,"Task2","taskUnsafe","Task Events","10007","0",0.000001,"taskId=0x62a99660, safeCnt=1"
4.367899,"Task2","taskSafe","Task Events","10006","0",0,"taskId=0x62a99660, safeCnt=0"
4.367899,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.367899,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x00000000, recurse=0"
4.3679,"Task2","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.3679,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.3679,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x62a99660, recurse=0"
4.3679,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.3679,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.3679,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367901,"Task2","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367901,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367901,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367901,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367901,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367901,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367901,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367901,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367902,"Task2","semGive","Semaphore Events","10012","0",0.000001,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367902,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367902,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367902,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367902,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367902,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367902,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367903,"Task2","semTake","Semaphore Events","10015","0",0.000001,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367903,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367903,"Task2","semTake","Semaphore Events","10015","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367903,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.367903,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=1"
4.367911,"Task2","semGive","Semaphore Events","10012","0",0.000008,"semId=0x621de1d0, semOwner=0x00000000, recurse=0"
4.367911,"Task2","semGive","Semaphore Events","10012","0",0,"semId=0x621de150, semOwner=0x62a99660, recurse=0"
4.367911,"Task2","taskUnsafe","Task Events","10007","0",0,"taskId=0x62a99660, safeCnt=1"
4.367912,"Task2","taskDelay","Task Events","10002","0",0.000001,"ticks=30"
4.367913,"Task2","State change","State Change Events","61","0",0.000001,"taskId=0x62a99660, oldState=Running, newState=Delayed"
4.367913,"idle","[Exit to idle]","Kernel Events","56","0",0,""
4.375089,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.007176,""
4.375092,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000003,""
4.375095,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
4.395053,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019958,""
4.395054,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
4.395056,"Interrupt14","intExit","Interrupt Events","101","0",0.000002,""
4.41503,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019974,""
4.415031,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
4.415031,"Interrupt14","intExit","Interrupt Events","101","0",0,""
4.435127,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020096,""
4.435129,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
4.435133,"Interrupt14","intExit","Interrupt Events","101","0",0.000004,""
4.455077,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019944,""
4.455079,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
4.455082,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
4.475129,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020047,""
4.475131,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
4.475134,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
4.495076,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019942,""
4.495079,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000003,""
4.495082,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
4.515131,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.020049,""
4.515133,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000002,""
4.515136,"Interrupt14","intExit","Interrupt Events","101","0",0.000003,""
4.535118,"Interrupt14","intEnt-14","Interrupt Events","116","0",0.019982,""
4.535119,"Interrupt14","tickAnnounce","Tick Events","59","0",0.000001,""
4.535122,"Interrupt14","[Wake delayed task]","Tick Events","618","0",0.000003,"pTcb=0x622f7980"
4.535122,"Interrupt14","intExit","Interrupt Events","101","0",0,""
4.535128,"idle","[Exit to idle]","Kernel Events","56","0",0.000006,""
